,mse,mse_lab,mse_magnitude,mse_phase,med_magnitude,med_phase,hvs1,hvs2,hvs3,ssim,ncc,if_value,histogram
0,85.0,81.94949325561896,85.41511,1.0437298314125643,9.0,0.0,0.016878611944527035,0.023174666600489544,153.571414927359,0.9876693768996508,0.0035466738029784756,43.20139474478189,4.559311921697372
1,0.0,0.016128713569966834,0.5055715,3.259801144805199,0.0,0.0,0.0032536643301366366,0.08648603647428996,141.1566513698462,0.9998043758392703,0.0014043860608943133,0.7526879240474078,8.825755000233585
2,12.0,0.7637830404889229,12.228828,1.7182899010078252,0.0,0.0,0.009611879249593426,0.0005962096187128148,149.26937100915234,0.9970525652269039,0.00013024255799367983,6.6129403391451556,8.94860941162915
3,218.0,91.96110062326278,218.99336,1.5419997718781453,246.0,0.0,0.0028438156506435932,0.00958696315933018,140.4075752708503,0.978227883832754,0.00043786072504585234,109.98577706695788,6.045444979701642
4,56.0,0.430600155573728,56.188225,4.307695081790615,0.0,0.0,0.021527694275118837,0.039960992733266164,115.2568675554471,0.9871151790535516,0.0004590394161083581,28.587669722283024,8.794261565388297
5,0.0,0.2974756456878932,0.6426778,1.8417884060922727,0.0,4.440892098500626e-16,0.0058473275726634785,0.01226497708806227,118.34397323094556,0.999568645142615,0.0005071325035400944,0.8211232124924712,12.324417816271307
6,138.0,97.68884564868415,138.29369,1.5029738236473005,246.0,0.0,0.011198053974650604,0.008993831559912862,118.53381566509952,0.9928719233182992,0.001304041465872374,69.64327645394887,4.472539313705056
7,2.0,0.17092330904365954,2.5676146,2.755659742288219,0.0,0.0,0.007630168654864908,0.00018233056864602013,174.4525281484255,0.9991552417926655,0.00026084898509260834,1.7833848487797994,6.0586155533383135
8,0.0,0.16704232044541314,0.7043808,2.0265737627417435,0.0,0.0,0.008677499319227205,0.00013028107252183665,177.15686797066957,0.9992490179519574,0.0016275169826494979,0.8518149044970562,7.868272965733922
9,447.0,170.9217083304952,447.32358,0.6698612920000392,22.0,0.0,0.03630863003616411,0.0373847263497114,38.138165188832836,0.9864253926299654,0.0025370878016491047,224.15500685202645,0.3799380539712729
10,0.0,0.07391600222908093,0.17070003,1.4562434656681236,0.0,0.0,0.009191030946340379,1.5889134566043448e-05,61.11234420575314,0.9995475708572644,0.0013546269972735977,0.5851237999557622,5.751028629199482
11,99.0,0.6066448614219315,99.272064,4.161163379394996,255.0,0.0,0.027081182381899344,0.023570859557383934,97.21682890405259,0.9883418143493923,0.0002332305885671654,50.13020366422656,11.76285298820585
12,0.0,0.020752491495581123,0.020752491,0.6991531555918932,0.0,0.0,0.001081260560185899,6.267272682282801e-07,170.12242649363202,0.999970474332826,0.0006668706055262591,0.5103614829142036,4.774241281080322
13,6.0,0.052375021239647136,6.7080903,4.634361678750136,0.0,0.0,0.0037960348040839923,0.00047799801674186987,148.36943038274603,0.9987969801663504,0.00027449981754139975,3.853443532164957,12.473780032945797
14,7463.0,92.43693295865114,7463.416,1.102238960737463,88.0,0.0,0.10921023821604031,0.23079886549985182,62.01961218819122,0.906433659939886,0.004969591041585333,3732.161141358272,0.013679059607966337
15,27.0,16.164583351831297,27.483818,1.2334143804436717,249.0,0.0,0.03373289391242593,0.0009243501714679684,135.40798587713005,0.995429012665501,0.001069739523815584,14.23962349634385,6.023452458142856
16,0.0,0.02149109154512036,0.45822772,3.223380450529726,0.0,0.0,0.0032829805120210397,4.314834215100731e-05,127.83974830149059,0.9998345940887848,0.0014699764686349288,0.7290311577701127,7.358017769471189
17,34.0,19.90384576357179,34.086155,1.21937547901064,4.0,0.0,0.00942196410517869,0.004021796206099373,38.32896494355319,0.9892602675256872,0.004953551637745914,17.53770932752697,3.0736460867065034
18,1258.0,110.89914820879657,1258.2642,1.1579562671877053,224.0,0.0,0.030306429947990786,0.08276866206679379,181.22842283858301,0.9536352672353573,0.007282256522899816,629.6090140483379,0.13014784754705033
19,0.0,0.08333656165806759,0.54134077,2.1096125945722664,0.0,0.0,0.006329482006114951,8.704418812320396e-05,151.92513278082373,0.9996198964659901,0.0008360645907909999,0.7704803245382654,7.644879153689544
20,4.0,0.26905672516710155,4.910126,2.7708553482200062,0.0,0.0,0.00884747198708586,0.000539681659389968,104.777816455674,0.9984960087524348,0.00043904399171755954,2.9543110919124076,11.70607055653818
21,435.0,109.65164568951386,435.5911,0.6353485335998501,18.5,0.0,0.032174217978478005,0.07102241209823847,186.61257872012757,0.9060485610709188,0.0027775164651155006,218.248556238059,0.5538168515922735
22,288.0,68.92392087912089,288.92862,1.2693389160401483,20.0,0.0,0.012175352088570884,0.021529175414905278,115.32326088343031,0.976473544652026,0.0005743031097740443,144.9525532558425,4.2336288616934326
23,181.0,41.76809630210434,181.42238,1.7360098633315275,237.0,0.0,0.003971325405768219,0.003832693599184881,202.72807500567197,0.9807001688447448,0.0003085489968995996,91.20154574792701,2.3103333864455635
24,7.0,0.2271251423599567,7.58658,3.2960500708397666,0.0,1.7763568394002552e-15,0.013119919845247909,0.0013278331604208151,159.65734189011854,0.998486932609748,0.0010077669566451787,4.292533272270906,10.01823084064381
25,60.0,0.8036467661093549,60.781193,3.339580624280479,254.0,2.910250200338241e-16,0.02188577182390941,0.004016081008958892,113.80536854764983,0.9914770862670566,0.0003584948789236129,30.88633555985288,9.894529185257852
26,57.0,48.50998520573619,57.465466,1.1051595386410444,250.0,4.732065318999561e-16,0.005228138750384329,0.002828694485629125,136.9932407626638,0.9948169831567827,0.000796547800076349,29.23014144589326,6.53637778222037
