,mse,mse_lab,mse_magnitude,mse_phase,med_magnitude,med_phase,hvs1,hvs2,hvs3,ssim,ncc,if_value,histogram,class
0,26.0,25.260884602864582,26.943176,0.652839864606147,4.0,0.0,0.024955200181350366,0.15590224637287042,119.08901311338339,0.9934721958165194,0.00048792171364766537,13.968324232673885,10.312163366528694,Original
1,480.0,10.866850884244373,480.27005,5.7153277068249615,255.0,0.02390579065298678,0.06460660555064357,0.05869952483928757,152.86901141163855,0.9395843161649052,0.0004767770349006833,240.60482531724642,6.986453673627693,Original
2,162.0,85.3636983235677,162.9262,0.7995951088000743,14.0,0.0,0.04091426672652608,0.03532802796834404,142.92704862706802,0.9871561581913595,0.00029613403896691957,81.95667724087954,7.686497329981648,Original
3,313.0,58.03697713216146,313.31824,3.4579842367181985,248.5,0.06608619995810724,0.10891674587640184,0.14559538037563358,122.18801556755517,0.9384772953164523,0.0003655986936754144,157.12835221373894,11.883880047491402,Original
4,819.0,21.0902944015444,819.8418,5.128906248155527,254.0,0.050981957643549486,0.1444832810106376,0.41522248016317836,146.34468519569987,0.9182910494763052,0.0002831521101358287,410.38004562126326,10.916621033364208,Original
5,895.0,39.83160400390625,895.4905,4.633209669718897,250.0,0.049303237530078536,0.13628279883945876,0.12447466702962293,115.26988030726613,0.8699648675626189,0.00016754719198615648,448.18021151906777,12.10566572859534,Original
6,105.0,40.531636555989586,105.69049,2.609312945667763,251.0,0.06457371805388415,0.030575575945254323,0.0656980145003463,122.56418528837315,0.969953329648657,0.00018716292009303057,53.330222026152455,11.885683409447665,Original
7,262.0,26.809224446614582,262.88995,4.360711863876394,252.0,0.05388747753833089,0.15335476603399736,0.03270537981275494,124.01635103911356,0.9236693968443236,0.00018022081664590818,131.9068115050628,10.449149059219053,Original
8,50.0,28.777923583984375,50.03053,2.217547588597108,252.0,0.060365161263994244,0.04962043535663851,0.2945694783430053,107.8143985523897,0.9865390292586317,0.00039538773087571496,25.508533389954835,10.776565990134259,Original
9,562.0,18.553070068359375,562.6286,5.335285179120993,251.0,0.02643108612230117,0.0935934047094883,0.048389816139813774,122.5803577697355,0.8791626550646902,0.0001594266602313795,281.7538767783787,10.135623773072439,Original
10,476.0,54.397216796875,476.48315,3.8649518744354814,250.0,0.05563672785182783,0.07926242418147798,0.04201665880600028,123.48734274471508,0.9458995999300405,0.0003171423974054028,238.71452694840252,12.863092629966559,Original
11,2040.0,37.09076944986979,2040.1427,5.876877437495843,250.0,0.02892393192273636,0.3684690832955668,0.3095322330195879,107.18847289241215,0.753488269260971,0.00021783259539568889,1020.448170526232,10.39674711968837,Original
12,294.0,8.548329671223959,294.0275,5.314102547729764,0.0,0.0,0.43046736941596997,0.2248630577978209,30.407871540543297,0.9395978821534374,0.0003591061989281952,147.48354711002204,1.4761267836438492,Original
13,87.0,10.149739583333334,87.48568,4.279093121869017,254.0,0.045113738113950114,0.08604576063590495,0.04496542388907279,91.05191075942095,0.9674370836250868,0.00016142920317168693,44.22655708347921,9.939472896294319,Original
14,1733.0,64.33849080403645,1733.6094,5.209052695786957,248.0,0.04220647398524441,0.32078788546815995,0.3334406351041662,88.3336878957312,0.7408810477245166,0.00020981196881192176,867.1751025925472,8.628899272851413,Original
15,86.0,31.639119466145832,86.300575,3.212860375345342,251.0,0.07385651828529695,0.10979205144241573,0.9628651907788743,99.70664190155229,0.9684645911350542,0.0008424535738844024,43.634521195307116,9.767373318609316,Original
