,mse,mse_lab,mse_magnitude,mse_phase,med_magnitude,med_phase,hvs1,hvs2,hvs3,ssim,ncc,if_value,histogram,class
0,9.0,9.877471923828125,9.877472,0.5363171641063248,3.0,0.0,0.01055842619354621,0.1674816916051403,119.09202585656656,0.9966283553037746,0.0004965693563487758,5.43705013956595,10.558747097558808,Original
1,61.0,0.3845860128617363,61.74021,3.270666855037701,0.0,0.0,0.011834999002208385,0.02300732358259661,152.88533620200494,0.9893788355112544,0.0005479642246572822,31.364795929009645,7.525040405918844,Original
2,148.0,76.09999593098958,148.40208,0.48908644999492035,18.0,0.0,0.015646095955328395,0.03475615815917175,142.9295027190564,0.9898826646692148,0.0002937406335434626,74.69598096449606,7.693425621124334,Original
3,38.0,3.9940083821614585,38.129425,1.750022900115974,254.0,0.03942239336280135,0.02204140117756949,0.09946338790538398,122.17572524126841,0.9869973375503825,0.00038330634593234454,19.558211193189255,12.392879379651276,Original
4,201.0,3.2134604247104246,201.78026,3.955626038992522,254.0,0.05069939064302052,0.06170870938579782,0.37424047086163237,146.3537737338178,0.9676252986481976,0.0003195101811031959,101.37394054507699,11.180937602824997,Original
5,1.0,1.4358113606770833,1.4358114,0.07540761577218072,1.0,0.0,0.0038330340471777412,0.04844164929862049,115.260518072789,0.9998572373488381,0.00018216042601132328,1.2178342990129607,12.834363521877094,Original
6,2.0,2.0340677897135415,2.0340679,0.07745923026514111,1.0,0.0,0.002674638217947638,0.058051307242299094,122.53454685585172,0.9998662882591757,0.00018765025527737244,1.5169670389863585,12.396537458247622,Original
7,14.0,1.831573486328125,14.9565735,1.821740882050072,254.0,2.664535259100376e-15,0.025777623290968887,0.010901642882127957,124.00392228668811,0.9928627836089061,0.0001874459539391811,7.974718134968516,11.524021945813729,Original
8,360.0,98.91282145182292,360.55087,0.17843688264240865,16.0,0.0,0.007175231684767774,0.22967574310082844,107.708800152548,0.9825073244971626,0.00035493077502231194,180.7666748048267,7.382176256054663,Original
9,8.0,0.00189208984375,8.60085,1.662332392918034,0.0,0.0,0.0005621378696021885,0.015833625007216703,122.56844889322917,0.9969525995123564,0.00017070415741938358,4.79890151134472,11.904861559392884,Original
10,158.0,3.6831563313802085,158.32378,2.8804336049627577,254.0,0.0467811748771209,0.031690547689403485,0.014232211766008094,123.48214199091096,0.9796858102617789,0.0003364860598994099,79.651733570821,13.272542450213223,Original
11,540.0,2.58905029296875,540.70886,4.6850774765937855,254.0,0.0004171399818818552,0.12280519926207062,0.14393480448309426,107.21782394109988,0.8854072065694681,0.0003105417269371351,270.7971245831024,11.299454870248155,Original
12,37.0,0.5810953776041666,37.424847,3.6559767838035486,0.0,0.0,0.11114384583538406,0.10926725075333653,30.406259973064746,0.9850200767036359,0.00038329141888549347,19.2049327271539,1.5449605979847547,Original
13,33.0,33.71832275390625,33.718323,0.20428535828932157,3.0,0.0,0.005656576131784856,0.04220561658905803,91.01376243042792,0.9983450012500067,0.00015528661617041886,17.35833387757813,9.458151853876188,Original
14,164.0,4.770497639973958,164.44237,2.9750715493494266,254.0,0.027281148635971652,0.06002319634025902,0.06566700622627515,88.33916127323324,0.9594686936454919,0.0002892874118221218,82.70092066680974,9.491538696282078,Original
15,4.0,2.1706339518229165,4.139384,0.9339216718507534,255.0,0.05388747753833448,0.016236663785940693,0.8265433772359998,99.68366507735908,0.9982970949004176,0.0008726702358476745,2.568840523361667,10.28442345635267,Original
16,1.0,1.1625264485677083,1.8239847,0.6854890355168868,254.0,2.144252386647169e-15,0.009216856356938655,0.08165286221524969,110.46661704069646,0.9987171885717357,0.00019760001830729102,1.4113509852363888,13.421624580296339,Original
17,74.0,74.16593424479167,74.16593,0.3394830833055898,10.0,0.0,0.00867885653196464,0.018367273684838276,145.93586744919324,0.9977061524888995,0.00019955527490808,37.58182019864029,4.017395025912265,Original
18,24.0,2.5290323893229165,24.148825,2.153939610968099,255.0,0.053887477538331716,0.014695443128566833,0.24897982917344225,130.53088945376328,0.9968592033479643,0.0008104253994569434,12.572841629668773,9.350663328114024,Original
19,7.0,7.265380859375,7.265381,0.11680450977874397,3.0,0.0,0.006127172001563339,0.015357943244093468,115.97081011603859,0.9993860285367693,0.00023518322215318157,4.132383443955884,13.012404837907525,Original
20,13.0,13.470316569010416,13.470317,0.13753052041870048,4.0,0.0,0.0037510298525497104,0.04951714978529929,124.25897041270935,0.9973754186071249,0.00020877642225099427,7.233845993808771,11.255515497352462,Original
21,1.0,0.8154093424479166,1.4768677,0.9475909036116416,0.0,0.0,0.008635443934217295,0.21813547329985272,94.02447773054536,0.9990376781753368,0.0002835292955550083,1.2379526769782934,9.991063201479847,Original
22,26.0,1.5585225423177083,26.56373,2.320657687097255,254.0,0.031071749825197805,0.0332825678405257,0.034820223087791514,92.06396252999896,0.9898315738998639,0.00025957979787172254,13.776781224775453,10.811777676317433,Original
23,4.0,1.47113037109375,4.116964,1.102462362296566,255.0,0.04366080698606096,0.008353882937660784,0.10220740604171304,103.53538315716911,0.9983442587034037,0.00033662242161859205,2.5576539815652435,12.096129760844633,Original
24,0.0,0.005940755208333333,0.6673991,0.5062952575963573,0.0,0.0,0.0005119588404053925,0.04676966565277432,117.02014519186582,0.9995229854719427,0.00037667411291232583,0.8334610370068047,12.936628872746951,Original
25,61.0,2.4338887532552085,61.100555,2.655272665568932,254.0,0.04678117487711238,0.029644236632017193,0.030099166468990142,131.4906618604473,0.9860297300433349,0.000423312474877367,31.043292574982605,11.134934404311934,Original
26,22.0,1.1815897623697917,22.858673,2.337012297338969,0.0,0.0,0.007668261071307701,0.012774263908699903,129.80652772990706,0.9945377206784546,0.0002180618035078163,11.92660540819079,8.788106207037345,Original
27,33.0,1.5248567708333334,33.861523,1.8122134427534713,254.0,0.026943738769173737,0.020183488136439404,0.16480661294288346,102.9262214307598,0.9887704248480799,0.00042490881204582695,17.425146931174037,11.31113653545981,Original
28,2.0,0.1273193359375,2.7679443,0.947635478394805,0.0,0.0,0.004040954340229337,0.03929027915958566,138.34524683734168,0.9987018407209254,0.00019187441099731005,1.8833230883292127,6.4942737180390395,Original
29,1.0,0.009877522786458334,1.3327942,0.7011234344530788,0.0,0.0,0.0006835634412893156,0.11296619817383838,82.49378941355187,0.9997627614280404,0.0002585221231274804,1.1662784754405826,9.359310863663268,Original
30,8.0,0.315704345703125,8.201121,2.8934669704210774,0.0,0.0,0.006074027569993669,0.010216495566881588,136.67934003842421,0.9974921427336919,0.0001859637384376792,4.599306577551742,8.70960862575157,Original
31,3.0,0.003936767578125,3.3112285,0.9614150669142579,0.0,0.0,0.003588413785527083,0.09819906064624395,124.82667842690462,0.9985980093964612,0.0005272173354293324,2.1549132218206264,10.919861347414553,Original
32,6.0,0.004618326822916667,6.6192017,1.414142229245889,0.0,0.0,0.005204866002277672,0.020329129021035872,139.58727253433926,0.9987646480646879,0.0005872862822869203,3.808983154110469,11.259302502039645,Original
33,127.0,50.69586181640625,127.71409,0.6916910820759171,5.0,0.0,0.02499384849816858,0.10811769679537221,106.39329770156762,0.9949616235241356,0.00013865432524727078,64.35452630329853,7.345110768510494,Original
34,25.0,25.412801106770832,25.412802,0.22663565038819214,251.0,0.013127660299763557,0.013967838220518879,0.018474114588788802,111.15540986902573,0.9824628607566204,0.00040388663270731433,13.197631983763726,10.33313704864122,Original
35,9.0,9.720947265625,9.720947,0.2469023514913605,4.0,0.0,0.014842246437841494,0.04763461563532076,98.84964160794526,0.9983247087021895,0.0005363927762280292,5.359635987163594,8.377034809673205,Original
36,4.0,4.379913330078125,4.3799133,0.31545686437832887,3.0,2.0797170925414606e-16,0.011605364338564392,0.0413201377793285,118.45337887433618,0.9981354896632081,0.00017291385821441435,2.6890244098706666,11.648518219109974,Original
37,8.0,0.01043701171875,8.604187,1.2687516302729682,0.0,0.0,0.002145228631657058,0.02157224731724482,101.64237954133476,0.99659128364665,0.0002070063411769021,4.8003891476827,13.166557345393812,Original
38,46.0,46.15033976236979,46.152943,0.26589092687430177,6.0,0.0,0.004353814976531383,0.03626034695292813,126.27238673789827,0.9965791801839875,0.0003533014701190077,23.574761554610223,11.818717169386218,Original
39,8.0,2.2606201171875,8.088745,1.2528202757523486,254.0,0.0,0.025662681497342483,0.03929136068859348,117.8562761693219,0.9971669834880432,0.0002320856098319486,4.5429560503377715,11.624440456274897,Original
40,1.0,0.0031636555989583335,1.9875387,1.3061689545206574,0.0,0.0,0.001120313672071137,0.024542319358681647,113.46104473039213,0.9987071041802524,0.00017687735736971746,1.4931228798896052,13.491052162295091,Original
41,306.0,95.05617268880208,306.814,0.6163189988759212,243.0,0.023673840046363484,0.006725499486740245,0.0123219487362291,154.33953642003675,0.9807100369058748,0.0008581553186548006,153.89734761285396,6.128692135665915,Original
42,0.0,0.016072591145833332,0.67753094,0.9022716204814554,0.0,0.0,0.0021172572531171444,0.07140070808424276,73.63570325265523,0.9995858814027317,0.00014253799738933657,0.8385584029409492,4.4845005389579455,Original
