,mse,mse_lab,mse_magnitude,mse_phase,med_magnitude,med_phase,hvs1,hvs2,hvs3,ssim,ncc,if_value,histogram,class
0,638.0,1.182373046875,638.04694,4.958727426763969,253.0,0.0,0.13755918581784318,0.16965118129262688,94.37354592715995,0.9120011375535302,0.0002529359136216657,319.47947875888093,7.96965734056721,Tampered
1,70.0,1.6971435546875,70.54089,3.3237381640831747,255.0,2.1227015644430838e-14,0.015105399077859844,0.00984870683953346,113.28632980047486,0.9785099893723094,0.00015424829749465514,35.759701772029906,10.335862734267721,Tampered
2,4.0,0.642636815920398,4.4083414,2.044196159918002,0.0,0.0,0.008353707317415188,0.3149393870619173,103.4363436737879,0.9984906007718253,0.0003059077683546101,2.703416112989561,12.881433607253712,Tampered
3,1.0,0.6170450846354166,1.273295,0.5737473412653246,0.0,0.0,0.015043622414638377,0.014650746765270168,142.2847067440257,0.9991405546645731,0.00033236476650732325,1.1362178196499948,11.56540088084148,Tampered
4,369.0,90.15433756510417,369.26892,0.14555753273138125,18.0,0.0,0.011208894867833953,0.295219024642212,110.05127639271855,0.954447341386384,0.0007249637202441475,185.11168411991193,7.3223860054058605,Tampered
5,4.0,1.6989339192708333,4.329142,1.009328572822328,255.0,0.053887477538329204,0.006699676964844498,0.04165269029703032,114.62921693091296,0.9988004268909011,0.00023720248466680454,2.663971339747534,14.671812232933007,Tampered
6,63.0,0.3146565755208333,63.700073,3.2728684069186316,0.0,0.0,0.01905844852924921,0.030580947551144336,119.34597989749285,0.987236516737726,0.00024240280239722436,32.34365487946261,14.090121533721685,Tampered
7,285.0,95.93729654947917,285.7524,0.26220049823139635,14.0,0.0,0.017290351053347364,0.1751802464303916,123.54509700201696,0.982589584124312,0.00048692279966897154,143.36749515013506,9.565437493671197,Tampered
8,26.0,26.171213785807293,26.171213,0.13590117693303885,4.0,0.0,0.0088531652112584,0.22809554022461642,116.16319963043811,0.9966455101843202,0.0004830022556910584,13.583929647995806,11.466796938082553,Tampered
9,8.0,1.7341817220052083,8.30189,1.7273962619565955,255.0,0.04678117487711295,0.01563173822617835,0.16376471780367402,93.82786298764297,0.996739194400556,0.0004738779209815172,4.6493146248695485,11.631996488060395,Tampered
10,0.0,0.516262910798122,0.5162629,0.2729462833852192,0.0,2.680315483308931e-16,0.004657015464972684,0.20038859254395652,117.13402746939153,0.9996478324566824,0.00022045969300068586,0.7579553716274022,15.097759443204268,Tampered
11,14.0,1.133941650390625,14.311025,1.662490614954652,255.0,0.015033768330917963,0.008450949097431161,0.11703757675056464,91.43294135199652,0.9949193073389007,0.0002137618956387182,7.65297214553143,12.18364454402763,Tampered
12,4.0,0.39543788580246914,4.2793884,2.392057338484745,0.0,0.0,0.016717063164421928,0.04390233919456971,167.9022643957274,0.9982018560412407,0.0009997570571729905,2.63879517956383,7.023305353912292,Tampered
13,26.0,1.0059583333333333,26.153217,2.170612126960987,255.0,0.04678117487711846,0.018726519718138348,0.19840673722670923,96.57991855482933,0.9913435335292954,0.0005270317174879738,13.572280563060945,11.946209763296793,Tampered
14,30.0,0.6021219889322916,30.836496,1.8523961443411974,0.0,0.0,0.014671201531206749,0.08761415657637879,71.29964990553513,0.9867274338286838,0.0002368666456936878,15.911612211380488,6.787366871612903,Tampered
15,51.0,2.2455240885416665,51.969482,2.6020033513511103,254.0,0.0,0.02225200199827952,0.20447347806935975,124.34270673764296,0.9876320725461643,0.0005615144214789446,26.47855724721058,9.9776168354947,Tampered
16,16.0,0.5510762532552084,16.410452,1.8140851879742683,0.0,0.0,0.012546073174934768,0.10220225665630514,125.02627152586292,0.9954710663903567,0.0004745023249452861,8.702961159822783,11.693097535666311,Tampered
17,29.0,27.221558872305142,29.577778,0.6983183193630105,248.0,0.0,0.007701317548495067,0.12929058147529246,130.50700985269728,0.9924074534643971,0.0008358457006134781,15.285092615621089,8.33061342498695,Tampered
18,4.0,2.2785441080729165,4.903544,0.6395272275498206,254.0,0.04711987769268819,0.009334830468809245,0.1043386987172199,118.3407817765778,0.998488703949052,0.00023926767735238364,2.9510164060109845,12.916335260451888,Tampered
19,88.0,1.0796416666666666,88.75645,2.920754451027185,254.0,0.0,0.014076835797190473,0.022287026312900974,109.28566970588234,0.9847138891182804,0.00024185762665012393,44.87057777789247,12.567899845540524,Tampered
