,mse,mse_lab,mse_magnitude,mse_phase,med_magnitude,med_phase,hvs1,hvs2,hvs3,ssim,ncc,if_value,histogram
0,0.0,0.7894978841145833,0.9651923,0.28709132642652957,255.0,1.1351006245246926e-16,0.007155012141966531,0.012494405041388438,130.49033500987207,0.9995915143002699,0.0003406328222350662,0.9823919214296488,13.383065745350905
1,0.0,0.4768812391493056,0.47688124,0.2029589611322936,0.0,0.0,0.0076054001592451665,0.015541669419809606,120.96358049513205,0.9994608029123961,0.00028900960949369565,0.7381710210308509,13.204835045049549
2,13.0,0.40969780815972223,13.3263645,2.1003133537489274,0.0,0.0,0.01605091790007938,0.002244155750626534,134.13091820278453,0.9964026139987351,0.00012864835342581604,7.161383544412562,8.146674663672457
3,0.0,0.12355278862847222,0.21174723,0.794285697898781,0.0,0.0,0.003242956105418036,0.02529559787990038,124.74137108098446,0.9997222873305929,0.00021156162951863116,0.6057347602017548,9.366665678244317
4,2.0,0.8240057548868313,2.9664955,0.7799896569515071,0.0,0.0,0.007766019997521102,0.041094354777394385,124.25885484434258,0.9988637884684111,0.0003284650565900022,1.9826796276446994,13.693974339927081
